CATALOG	SCIENCE	OC_CONTRY	COL_DATE	INFO	LENGTH	A_LENGTH	WEIGHT	INCREMENT	CRNO	STATION	LATITUDE	LONGITUDE	
M00763	Ejaponicus	Kenfong	1998/5/4	EJ9805130	18.40	17.20	0.0234	17	9805	A	024.45	121.53	
M00765	Ejaponicus	Kenfong	1998/5/4	EJ9805132	20.67	19.10	0.0357	18	9805	A	024.45	121.53	
M00766	Ejaponicus	Kenfong	1998/5/4	EJ9805133	20.44	19.34	0.0332	20	9805	A	024.45	121.53	
M00767	Ejaponicus	Kenfong	1998/5/4	EJ9805134	18.77	17.60	0.0246	17	9805	A	024.45	121.53	
M00769	Ejaponicus	Kenfong	1998/5/4	EJ9805136	19.87	18.83	0.0282	18	9805	A	024.45	121.53	
M00770	Ejaponicus	Kenfong	1998/5/4	EJ9805137	18.72	16.93	0.0241	16	9805	A	024.45	121.53	
M00771	Ejaponicus	Kenfong	1998/5/4	EJ9805138	19.75	18.22	0.0272	17	9805	A	024.45	121.53	
M00772	Ejaponicus	Kenfong	1998/5/18	EJ9805139	16.48	15.05	0.0131	15	9805	A	024.45	121.53	
M00773	Ejaponicus	Kenfong	1998/5/18	EJ9805140	16.26	15.00	0.0172	15	9805	A	024.45	121.53	
M00774	Ejaponicus	Kenfong	1998/5/18	EJ9805141	15.88	14.77	0.0178	15	9805	A	024.45	121.53	
M00775	Ejaponicus	Kenfong	1998/5/18	EJ9805142	17.76	16.08	0.0230	19	9805	A	024.45	121.53	
M00776	Ejaponicus	Kenfong	1998/5/18	EJ9805143	17.92	16.44	0.0234	18	9805	A	024.45	121.53	
M00777	Ejaponicus	Kenfong	1998/5/18	EJ9805144	24.12	22.74	0.0587	27	9805	A	024.45	121.53	
M00778	Ejaponicus	Kenfong	1998/5/18	EJ9805145	18.30	16.93	0.0214	18	9805	A	024.45	121.53	
M00779	Ejaponicus	Kenfong	1998/5/18	EJ9805146	18.20	16.92	0.0216	19	9805	A	024.45	121.53	
M00780	Ejaponicus	Kenfong	1998/5/18	EJ9805147	18.27	16.75	0.0235	18	9805	A	024.45	121.53	
M00781	Ejaponicus	Kenfong	1998/5/18	EJ9805148	18.32	16.69	0.0215	19	9805	A	024.45	121.53	
M00782	Ejaponicus	Kenfong	1998/5/18	EJ9805149	20.78	18.87	0.0344	22	9805	A	024.45	121.53	
M00783	Ejaponicus	Kenfong	1998/5/18	EJ9805150	17.50	16.23	0.0194	18	9805	A	024.45	121.53	
M00784	Ejaponicus	Kenfong	1998/5/18	EJ9805151	19.49	18.03	0.0276	19	9805	A	024.45	121.53	
M00785	Ejaponicus	Kenfong	1998/5/18	EJ9805152	18.30	16.56	0.0214	18	9805	A	024.45	121.53	
M00786	Ejaponicus	Kenfong	1998/5/18	EJ9805153	20.91	19.04	0.0354	23	9805	A	024.45	121.53	
M00787	Ejaponicus	Kenfong	1998/5/18	EJ9805154	18.63	17.38	0.0243	20	9805	A	024.45	121.53	
M00788	Ejaponicus	Kenfong	1998/5/18	EJ9805155	17.98	16.55	0.0186	17	9805	A	024.45	121.53	
M00789	Ejaponicus	Kenfong	1998/5/18	EJ9805156	19.24	18.24	0.0281	20	9805	A	024.45	121.53	
M00790	Ejaponicus	Kenfong	1998/5/18	EJ9805157	18.11	17.11	0.0213	15	9805	A	024.45	121.53	
M00791	Ejaponicus	Kenfong	1998/5/18	EJ9805158	20.21	18.62	0.0272	18	9805	A	024.45	121.53	
M00792	Ejaponicus	Kenfong	1998/5/18	EJ9805159	18.84	17.51	0.0209	17	9805	A	024.45	121.53	
M00793	Ejaponicus	Kenfong	1998/5/18	EJ9805160	20.10	19.01	0.0231	21	9805	A	024.45	121.53	
M00794	Ejaponicus	Kenfong	1998/5/18	EJ9805161	20.91	19.66	0.0354	18	9805	A	024.45	121.53	
M00795	Ejaponicus	Kenfong	1998/5/18	EJ9805162	18.90	17.81	0.0237	20	9805	A	024.45	121.53	
M00796	Ejaponicus	Kenfong	1998/5/18	EJ9805163	19.20	17.62	0.0255	18	9805	A	024.45	121.53	
M00797	Ejaponicus	Kenfong	1998/5/18	EJ9805164	18.10	16.72	0.0211	18	9805	A	024.45	121.53	
M00798	Ejaponicus	Kenfong	1998/5/18	EJ9805165	22.84	21.13	0.0470	18	9805	A	024.45	121.53	
M00799	Ejaponicus	Kenfong	1998/5/18	EJ9805166	19.65	18.59	0.0260	19	9805	A	024.45	121.53	
M00800	Ejaponicus	Kenfong	1998/5/18	EJ9805167	18.58	17.42	0.0222	14	9805	A	024.45	121.53	
M00801	Ejaponicus	Kenfong	1998/5/18	EJ9805168	19.58	18.48	0.0289	17	9805	A	024.45	121.53	
M00802	Ejaponicus	Kenfong	1998/5/18	EJ9805169	17.95	16.98	0.0189	18	9805	A	024.45	121.53	
M00803	Ejaponicus	Kenfong	1998/5/18	EJ9805170	16.84	15.81	0.0149	16	9805	A	024.45	121.53	
M00804	Ejaponicus	Kenfong	1998/5/18	EJ9805171	17.05	16.19	0.0175	16	9805	A	024.45	121.53	
M00805	Ejaponicus	Kenfong	1998/5/18	EJ9805172	18.42	16.97	0.0204	19	9805	A	024.45	121.53	
M00806	Ejaponicus	Kenfong	1998/5/18	EJ9805173	24.31	23.06	0.0610	28	9805	A	024.45	121.53	
M00807	Ejaponicus	Kenfong	1998/5/18	EJ9805174	17.36	16.35	0.0190	16	9805	A	024.45	121.53	
M00808	Ejaponicus	Kenfong	1998/5/18	EJ9805175	21.06	19.51	0.0333	27	9805	A	024.45	121.53	
M00809	Ejaponicus	Kenfong	1998/5/18	EJ9805176	20.84	19.09	0.0296	22	9805	A	024.45	121.53	
M00810	Ejaponicus	Kenfong	1998/5/18	EJ9805177	19.65	18.34	0.0261	21	9805	A	024.45	121.53	
M00811	Ejaponicus	Kenfong	1998/5/18	EJ9805178	15.97	15.06	0.0139	14	9805	A	024.45	121.53	
M00812	Ejaponicus	Kenfong	1998/5/18	EJ9805179	17.76	16.88	0.0190	17	9805	A	024.45	121.53	
M00813	Ejaponicus	Kenfong	1998/5/18	EJ9805180	19.36	18.12	0.0260	21	9805	A	024.45	121.53	
M00814	Ejaponicus	Kenfong	1998/5/18	EJ9805181	18.08	16.60	0.0217	18	9805	A	024.45	121.53	
M00815	Ejaponicus	Kenfong	1998/5/18	EJ9805182	18.02	16.76	0.0211	18	9805	A	024.45	121.53	
M00816	Ejaponicus	Kenfong	1998/5/18	EJ9805183	19.93	18.23	0.0270	20	9805	A	024.45	121.53	
M00817	Ejaponicus	Kenfong	1998/5/18	EJ9805184	19.21	18.09	0.0244	20	9805	A	024.45	121.53	
M00818	Ejaponicus	Kenfong	1998/5/18	EJ9805185	18.60	17.61	0.0206	19	9805	A	024.45	121.53	
M00819	Ejaponicus	Kenfong	1998/5/18	EJ9805186	18.40	17.26	0.0207	19	9805	A	024.45	121.53	
M00820	Ejaponicus	Kenfong	1998/5/18	EJ9805187	18.15	16.71	0.0216	18	9805	A	024.45	121.53	
M00821	Ejaponicus	Kenfong	1998/5/18	EJ9805188	18.93	17.88	0.0232	19	9805	A	024.45	121.53	
M00822	Ejaponicus	Kenfong	1998/5/18	EJ9805189	16.67	15.65	0.0155	16	9805	A	024.45	121.53	
M00823	Ejaponicus	Kenfong	1998/5/18	EJ9805190	17.38	16.16	0.0171	16	9805	A	024.45	121.53	
M00824	Ejaponicus	Kenfong	1998/5/18	EJ9805191	17.98	16.53	0.0186	17	9805	A	024.45	121.53	
M00825	Ejaponicus	Kenfong	1998/5/18	EJ9805192	19.47	18.05	0.0222	20	9805	A	024.45	121.53	
M00826	Ejaponicus	Kenfong	1998/5/18	EJ9805193	19.62	18.42	0.0261	22	9805	A	024.45	121.53	
M00827	Ejaponicus	Kenfong	1998/5/18	EJ9805194	18.68	17.40	0.0221	18	9805	A	024.45	121.53	
M00828	Ejaponicus	Kenfong	1998/5/18	EJ9805195	16.70	15.64	0.0167	15	9805	A	024.45	121.53	
M00829	Ejaponicus	Kenfong	1998/5/18	EJ9805196	18.83	18.16	0.0266	20	9805	A	024.45	121.53	
M00830	Ejaponicus	Kenfong	1998/5/18	EJ9805197	18.08	16.97	0.0217	17	9805	A	024.45	121.53	
M00831	Ejaponicus	Kenfong	1998/5/18	EJ9805198	18.44	17.31	0.0234	18	9805	A	024.45	121.53	
M00832	Ejaponicus	Kenfong	1998/5/18	EJ9805199	19.69	18.60	0.0293	21	9805	A	024.45	121.53	
M00833	Ejaponicus	Kenfong	1998/5/18	EJ9805200	18.44	17.41	0.0234	19	9805	A	024.45	121.53	
M00834	Ejaponicus	Kenfong	1998/5/18	EJ9805201	19.01	17.82	0.0263	21	9805	A	024.45	121.53	
M00835	Ejaponicus	Kenfong	1998/5/18	EJ9805202	19.49	18.24	0.0276	20	9805	A	024.45	121.53	
M00836	Ejaponicus	Kenfong	1998/5/18	EJ9805203	19.68	18.40	0.0283	21	9805	A	024.45	121.53	
M00837	Ejaponicus	Kenfong	1998/5/18	EJ9805204	18.15	17.02	0.0216	18	9805	A	024.45	121.53	
M00838	Ejaponicus	Kenfong	1998/5/18	EJ9805205	23.20	21.93	0.0475	29	9805	A	024.45	121.53	
M00839	Ejaponicus	Kenfong	1998/5/18	EJ9805206	15.94	14.67	0.0157	16	9805	A	024.45	121.53	
M00840	Ejaponicus	Kenfong	1998/5/18	EJ9805207	18.85	17.77	0.0278	19	9805	A	024.45	121.53	
M00841	Ejaponicus	Kenfong	1998/5/18	EJ9805208	18.82	17.48	0.0256	19	9805	A	024.45	121.53	
M00842	Ejaponicus	Kenfong	1998/5/18	EJ9805209	19.81	18.68	0.0251	22	9805	A	024.45	121.53	
M00843	Ejaponicus	Kenfong	1998/5/18	EJ9805210	20.00	18.71	0.0242	21	9805	A	024.45	121.53	
M00844	Ejaponicus	Kenfong	1998/5/18	EJ9805211	20.75	19.58	0.0298	22	9805	A	024.45	121.53	
M01104	Ejaponicus	Kenfong	1997/5/5	EJ9705001	17.90	17.90	0.0180	16	9705	A	024.45	121.53	
M01105	Ejaponicus	Kenfong	1997/5/5	EJ9705002	16.30	16.30	0.0151	15	9705	A	024.45	121.53	
M01106	Ejaponicus	Kenfong	1997/5/5	EJ9705003	18.90	18.90	0.0204	18	9705	A	024.45	121.53	
M01107	Ejaponicus	Kenfong	1997/5/5	EJ9705004	20.00	20.00	0.0307	20	9705	A	024.45	121.53	
M01108	Ejaponicus	Kenfong	1997/5/5	EJ9705005	24.80	24.80	0.0541	27	9705	A	024.45	121.53	
M01109	Ejaponicus	Kenfong	1997/5/5	EJ9705006	20.40	20.40	0.0352	21	9705	A	024.45	121.53	
M01110	Ejaponicus	Kenfong	1997/5/5	EJ9705007	18.80	18.80	0.0177	17	9705	A	024.45	121.53	
M01111	Ejaponicus	Kenfong	1997/5/5	EJ9705008	16.60	16.60	0.0161	16	9705	A	024.45	121.53	
M01112	Ejaponicus	Kenfong	1997/5/5	EJ9705009	22.30	22.30	0.0471	22	9705	A	024.45	121.53	
M01113	Ejaponicus	Kenfong	1997/5/5	EJ9705010	18.00	18.00	0.0180	15	9705	A	024.45	121.53	
M01114	Ejaponicus	Kenfong	1997/5/5	EJ9705011	19.10	19.10	0.0258	19	9705	A	024.45	121.53	
M01115	Ejaponicus	Kenfong	1997/5/5	EJ9705012	18.55	18.55	0.0213	19	9705	A	024.45	121.53	
M01116	Ejaponicus	Kenfong	1997/5/5	EJ9705013	19.84	19.84	0.0260	18	9705	A	024.45	121.53	
M01117	Ejaponicus	Kenfong	1997/5/5	EJ9705014	18.48	18.48	0.0224	16	9705	A	024.45	121.53	
M01118	Ejaponicus	Kenfong	1997/5/5	EJ9705015	16.99	16.99	0.0163	15	9705	A	024.45	121.53	
M01119	Ejaponicus	Kenfong	1997/5/5	EJ9705016	18.18	18.18	0.0189	17	9705	A	024.45	121.53	
M01120	Ejaponicus	Kenfong	1997/5/5	EJ9705017	20.16	20.16	0.0470	19	9705	A	024.45	121.53	
M01121	Ejaponicus	Kenfong	1997/5/5	EJ9705018	17.22	17.22	0.0194	16	9705	A	024.45	121.53	
M01122	Ejaponicus	Kenfong	1997/5/5	EJ9705019	19.51	19.51	0.0238	19	9705	A	024.45	121.53	
M01123	Ejaponicus	Kenfong	1997/5/5	EJ9705020	19.02	19.02	0.0235	17	9705	A	024.45	121.53	
M01124	Ejaponicus	Kenfong	1997/5/5	EJ9705021	19.27	19.27	0.0282	20	9705	A	024.45	121.53	
M01125	Ejaponicus	Kenfong	1997/5/5	EJ9705022	18.54	18.54	0.0211	19	9705	A	024.45	121.53	
M01126	Ejaponicus	Kenfong	1997/5/5	EJ9705023	17.86	17.86	0.0187	16	9705	A	024.45	121.53	
M01127	Ejaponicus	Kenfong	1997/5/5	EJ9705024	17.59	17.59	0.0160	15	9705	A	024.45	121.53	
M01128	Ejaponicus	Kenfong	1997/5/5	EJ9705025	16.13	16.13	0.0134	15	9705	A	024.45	121.53	
M01129	Ejaponicus	Kenfong	1997/5/5	EJ9705026	17.40	17.40	0.0187	16	9705	A	024.45	121.53	
M01130	Ejaponicus	Kenfong	1997/5/5	EJ9705027	21.30	21.30	0.0262	17	9705	A	024.45	121.53	
M01131	Ejaponicus	Kenfong	1997/5/5	EJ9705028	21.48	21.48	0.0297	21	9705	A	024.45	121.53	
M01132	Ejaponicus	Kenfong	1997/5/5	EJ9705029	18.54	18.54	0.0168	18	9705	A	024.45	121.53	
M01133	Ejaponicus	Kenfong	1997/5/5	EJ9705030	16.37	16.37	0.0147	17	9705	A	024.45	121.53	
M01134	Ejaponicus	Kenfong	1997/5/19	EJ9705031	25.31	25.31	0.0349	23	9705	A	024.45	121.53	
M01135	Ejaponicus	Kenfong	1997/5/19	EJ9705032	21.04	21.04	0.0196	19	9705	A	024.45	121.53	
M01136	Ejaponicus	Kenfong	1997/5/19	EJ9705033	20.82	20.82	0.0257	20	9705	A	024.45	121.53	
M01137	Ejaponicus	Kenfong	1997/5/19	EJ9705034	20.08	20.08	0.0256	19	9705	A	024.45	121.53	
M01138	Ejaponicus	Kenfong	1997/5/19	EJ9705035	20.61	20.61	0.0232	22	9705	A	024.45	121.53	
M01139	Ejaponicus	Kenfong	1997/5/19	EJ9705036	17.42	17.42	0.0133	14	9705	A	024.45	121.53	
M01140	Ejaponicus	Kenfong	1997/5/19	EJ9705037	17.00	17.00	0.0113	16	9705	A	024.45	121.53	
M01141	Ejaponicus	Kenfong	1997/5/19	EJ9705038	16.94	16.94	0.0145	15	9705	A	024.45	121.53	
M01142	Ejaponicus	Kenfong	1997/5/5	EJ9705039	18.16	18.16	0.0217	16	9705	A	024.45	121.53	
M01143	Ejaponicus	Kenfong	1997/5/5	EJ9705040	17.87	17.87	0.0196	17	9705	A	024.45	121.53	
M01144	Ejaponicus	Kenfong	1997/5/5	EJ9705041	16.89	16.89	0.0149	15	9705	A	024.45	121.53	
M01145	Ejaponicus	Kenfong	1997/5/5	EJ9705042	15.94	15.94	0.0139	13	9705	A	024.45	121.53	
M01146	Ejaponicus	Kenfong	1997/5/5	EJ9705043	19.85	19.85	0.0270	21	9705	A	024.45	121.53	
M01147	Ejaponicus	Kenfong	1997/5/5	EJ9705044	18.85	18.85	0.0234	20	9705	A	024.45	121.53	
M01148	Ejaponicus	Kenfong	1997/5/5	EJ9705045	17.22	17.22	0.0166	17	9705	A	024.45	121.53	
M01149	Ejaponicus	Kenfong	1997/5/5	EJ9705046	17.63	17.63	0.0188	18	9705	A	024.45	121.53	
M01150	Ejaponicus	Kenfong	1997/5/5	EJ9705047	18.68	18.68	0.0240	19	9705	A	024.45	121.53	
M01151	Ejaponicus	Kenfong	1997/5/5	EJ9705048	18.19	18.19	0.0205	19	9705	A	024.45	121.53	
M01152	Ejaponicus	Kenfong	1997/5/5	EJ9705049	18.29	18.29	0.0209	17	9705	A	024.45	121.53	
M01153	Ejaponicus	Kenfong	1997/5/5	EJ9705050	18.78	18.78	0.0189	15	9705	A	024.45	121.53	
M01154	Ejaponicus	Kenfong	1997/5/5	EJ9705051	17.61	17.61	0.0162	16	9705	A	024.45	121.53	
M01155	Ejaponicus	Kenfong	1997/5/5	EJ9705052	17.40	17.40	0.0154	15	9705	A	024.45	121.53	
M01156	Ejaponicus	Kenfong	1997/5/5	EJ9705053	16.87	16.87	0.0184	17	9705	A	024.45	121.53	
M01157	Ejaponicus	Kenfong	1997/5/5	EJ9705054	18.49	18.49	0.0231	18	9705	A	024.45	121.53	
M01158	Ejaponicus	Kenfong	1997/5/5	EJ9705055	19.74	19.74	0.0271	20	9705	A	024.45	121.53	
M01159	Ejaponicus	Kenfong	1997/5/5	EJ9705056	18.21	18.21	0.0195	17	9705	A	024.45	121.53	
M01160	Ejaponicus	Kenfong	1997/5/5	EJ9705057	17.88	17.88	0.0190	17	9705	A	024.45	121.53	
M01161	Ejaponicus	Kenfong	1997/5/5	EJ9705058	15.85	15.85	0.0132	16	9705	A	024.45	121.53	
M01162	Ejaponicus	Kenfong	1997/5/5	EJ9705059	19.12	19.12	0.0223	18	9705	A	024.45	121.53	
M01163	Ejaponicus	Kenfong	1997/5/5	EJ9705060	18.77	18.77	0.0219	18	9705	A	024.45	121.53	
M01164	Ejaponicus	Kenfong	1997/5/5	EJ9705061	19.24	19.24	0.0193	19	9705	A	024.45	121.53	
M01165	Ejaponicus	Kenfogn	1997/5/5	EJ9705062	21.17	21.17	0.0411	21	9705	A	024.45	121.53	
M01166	Ejaponicus	Kenfong	1997/5/5	EJ9705063	17.01	17.01	0.0143	15	9705	A	024.45	121.53	
M01167	Ejaponicus	Kenfong	1997/5/5	EJ9705064	17.72	17.72	0.0187	20	9705	A	024.45	121.53	
M01168	Ejaponicus	Kenfong	1997/5/5	EJ9705065	18.43	18.43	0.0200	17	9705	A	024.45	121.53	
M01169	Ejaponicus	Kenfong	1997/5/5	EJ9705066	16.32	16.32	0.0160	15	9705	A	024.45	121.53	
M01170	Ejaponicus	Kenfong	1997/5/5	EJ9705067	18.80	18.80	0.0249	17	9705	A	024.45	121.53	
M01171	Ejaponicus	Kenfong	1997/5/5	EJ9705068	21.06	21.06	0.0382	23	9705	A	024.45	121.53	
M01172	Ejaponicus	Kenfong	1997/5/5	EJ9705069	20.75	20.75	0.0308	20	9705	A	024.45	121.53	
M01173	Ejaponicus	Kenfong	1997/5/5	EJ9705070	17.37	17.37	0.0188	17	9705	A	024.45	121.53	
M01174	Ejaponicus	Kenfong	1997/5/5	EJ9705071	17.33	17.33	0.0173	16	9705	A	024.45	121.53	
M01175	Ejaponicus	Kenfong	1997/5/5	EJ9705072	15.64	15.64	0.0136	14	9705	A	024.45	121.53	
M01176	Ejaponicus	Kenfong	1997/5/5	EJ9705073	16.45	16.45	0.0185	16	9705	A	024.45	121.53	
M01177	Ejaponicus	Kenfong	1997/5/5	EJ9705074	18.89	18.89	0.0220	18	9705	A	024.45	121.53	
M01178	Ejaponicus	Kenfong	1997/5/5	EJ9705075	17.73	17.73	0.0172	17	9705	A	024.45	121.53	
M01179	Ejaponicus	Kenfong	1997/5/5	EJ9705076	18.24	18.24	0.0225	18	9705	A	024.45	121.53	
M01180	Ejaponicus	Kenfong	1997/5/5	EJ9705077	18.36	18.36	0.0197	18	9705	A	024.45	121.53	
M01181	Ejaponicus	Kenfong	1997/5/5	EJ9705078	17.70	17.70	0.0173	17	9705	A	024.45	121.53	
M01182	Ejaponicus	Kenfong	1997/5/5	EJ9705079	15.29	15.29	0.0119	13	9705	A	024.45	121.53	
M01183	Ejaponicus	Kenfong	1997/5/5	EJ9705080	18.18	18.18	0.0176	18	9705	A	024.45	121.53	
M01184	Ejaponicus	Kenfong	1997/5/5	EJ9705081	16.44	16.44	0.0142	15	9705	A	024.45	121.53	
M01185	Ejaponicus	Kenfong	1997/5/5	EJ9705082	17.95	17.95	0.0170	17	9705	A	024.45	121.53	
M01186	Ejaponicus	Kenfong	1997/5/5	EJ9705083	17.25	17.25	0.0150	15	9705	A	024.45	121.53	
M01187	Ejaponicus	Kenfong	1997/5/5	EJ9705084	15.16	15.16	0.0173	13	9705	A	024.45	121.53	
M01188	Ejaponicus	Kenfong	1997/5/5	EJ9705085	16.84	16.84	0.0155	17	9705	A	024.45	121.53	
M01189	Ejaponicus	Kenfong	1997/5/5	EJ9705086	18.12	18.12	0.0200	17	9705	A	024.45	121.53	
M01190	Ejaponicus	Kenfong	1997/5/5	EJ9705087	17.46	17.46	0.0177	15	9705	A	024.45	121.53	
M01191	Ejaponicus	Kenfong	1997/5/5	EJ9705088	15.59	15.59	0.0151	14	9705	A	024.45	121.53	
M01192	Ejaponicus	Kenfong	1997/5/5	EJ9705089	18.78	18.78	0.0243	19	9705	A	024.45	121.53	
M01193	Ejaponicus	Kenfong	1997/5/5	EJ9705090	18.69	18.69	0.0214	17	9705	A	024.45	121.53	
M01194	Ejaponicus	Kenfong	1997/5/5	EJ9705091	18.57	18.57	0.0211	18	9705	A	024.45	121.53	
M01195	Ejaponicus	Kenfong	1997/5/5	EJ9705092	19.73	19.73	0.0246	19	9705	A	024.45	121.53	
M01196	Ejaponicus	Kenfong	1997/5/5	EJ9705093	15.15	15.15	0.0121	13	9705	A	024.45	121.53	
M01197	Ejaponicus	Kenfong	1997/5/5	EJ9705094	16.29	16.29	0.0150	16	9705	A	024.45	121.53	
M01198	Ejaponicus	Kenfong	1997/5/5	EJ9705095	16.44	16.44	0.0140	17	9705	A	024.45	121.53	
M01199	Ejaponicus	Kenfong	1997/5/5	EJ9705096	18.48	18.48	0.0218	18	9705	A	024.45	121.53	
M01200	Ejaponicus	Kenfong	1997/5/5	EJ9705097	21.59	21.59	0.0350	21	9705	A	024.45	121.53	
M01201	Smelanostictus	I-LanBay	2001/4/28	SM0104001	10.45	10.45	0.0022	8	763T	00L	024.43	121.51	
M01202	Smelanostictus	I-LanBay	2001/4/28	SM0104002	15.85	15.85	0.0061	12	763T	00L	024.43	121.51	
M01203	Smelanostictus	NorthernTaiwan	2001/4/28	SM0104003	15.65	15.65	0.0130	16	763T	DI	025.30	121.50	
M01204	Smelanostictus	TaiwanStrait	2001/4/28	SM0104004	19.02	19.02	0.0270	20	763T	27I	025.32	121.07	
M01205	Smelanostictus	TaiwanStrait	2001/4/8	SM0104005	19.03	19.03	0.0380	26	752T	00G	025.14	121.21	
M01206	Smelanostictus	TaiwanStrait	2001/4/7	SM0104006	14.23	14.23	0.0065	12	752T	25I	025.48	120.41	
M01207	Smelanostictus	TaiwanStrait	2001/4/7	SM0104007	19.16	19.16	0.0306	22	752T	25I	025.48	120.41	
M01208	Smelanostictus	TaiwanStrait	2001/4/7	SM0104008	19.00	19.00	0.0249	20	752T	25I	025.48	120.41	
M01209	Smelanostictus	TaiwanStrait	2001/4/8	SM0104009	14.20	14.20	0.0099	18	752T	0AA	025.16	121.44	
M01210	Eheteroloba	I-LanBay	2001/4/28	EH0104001	14.35	14.35	0.0105	13	763T	00L	024.43	121.51	
M01211	Eheteroloba	I-LanBay	2001/4/28	EH0104002	17.70	17.70	0.0175	18	763T	00L	024.43	121.51	
M01212	Eheteroloba	I-LanBay	2001/4/28	EH0104003	14.40	14.40	0.0092	16	763T	00L	024.43	121.51	
M01213	Eheteroloba	I-LanBay	2001/4/28	EH0104004	13.34	13.34	0.0057	12	763T	00L	024.43	121.51	
M01214	Eheteroloba	I-LanBay	2001/4/28	EH0104005	15.85	15.85	0.0134	16	763T	00L	024.43	121.51	
M01215	Eheteroloba	I-LanBay	2001/4/28	EH0104006	14.50	14.50	0.0094	16	763T	00L	024.43	121.51	
M01216	Eheteroloba	I-LanBay	2001/4/28	EH0104007	12.99	12.99	0.0063	11	763T	00M	024.44	121.57	
M01217	Eheteroloba	I-LanBay	2001/4/29	EH0104008	14.32	14.32	0.0082	13	763T	00N	024.43	121.05	
M01218	Eheteroloba	TaiwanStrait	2001/4/30	EH0104009	13.76	13.76	0.0045	9	763T	023	026.02	120.16	
M01219	Eheteroloba	I-LanBay	2001/4/29	EH0104010	13.05	13.05	0.0075	13	763T	NI	024.43	121.05	
M01220	Eheteroloba	I-LanBay	2001/4/29	EH0104011	14.97	14.97	0.0088	15	763T	NI	024.43	121.05	
M01221	Eheteroloba	TaiwanStrait	2001/4/30	EH0104012	11.15	11.15	0.0034	10	763T	23I	026.02	120.16	
M01222	Eheteroloba	TaiwanStrait	2001/4/30	EH0104013	13.65	13.65	0.0070	12	763T	23I	026.02	120.16	
M01223	Eheteroloba	TaiwanStrait	2001/4/30	EH0104014	17.76	17.76	0.0135	19	763T	23I	026.02	120.16	
M01224	Eheteroloba	TaiwanStrait	2001/4/30	EH0104015	18.18	18.18	0.0187	17	763T	23I	026.02	120.16	
M01225	Eheteroloba	TaiwanStrait	2001/4/30	EH0104016	15.05	15.05	0.0076	13	763T	25I	025.48	120.41	
M01226	Eheteroloba	TaiwanStrait	2001/4/30	EH0104017	16.55	16.55	0.0127	14	763T	25I	025.48	120.41	
M01227	Eheteroloba	TaiwanStrait	2001/4/30	EH0104018	16.95	16.95	0.0125	16	763T	25I	025.48	120.41	
M01228	Eheteroloba	TaiwanStrait	2001/4/30	EH0104019	15.15	15.15	0.0088	13	763T	25I	025.48	120.41	
M01229	Eheteroloba	TaiwanStrait	2001/4/30	EH0104020	17.85	17.85	0.0177	16	763T	25I	025.48	120.41	
M01230	Eheteroloba	TaiwanStrait	2001/4/30	EH0104021	15.45	15.45	0.0097	13	763T	25I	025.48	120.41	
M01231	Eheteroloba	TaiwanStrait	2001/4/30	EH0104022	16.25	16.25	0.0115	14	763T	25I	025.48	120.41	
M01232	Eheteroloba	TaiwanStrait	2001/4/30	EH0104023	19.85	19.85	0.0239	19	763T	25I	025.48	120.41	
M01233	Eheteroloba	TaiwanStrait	2001/4/30	EH0104024	18.38	18.38	0.0192	17	763T	25I	025.48	120.41	
M01234	Eheteroloba	TaiwanStrait	2001/4/30	EH0104025	20.25	20.25	0.0295	21	763T	25I	025.48	120.41	
M01235	Eheteroloba	TaiwanStrait	2001/4/30	EH0104026	19.05	19.05	0.0196	18	763T	25I	025.48	120.41	
M01236	Eheteroloba	TaiwanStrait	2001/4/29	EH0104027	18.06	18.06	0.0208	17	763T	27I	025.32	121.07	
M01237	Eheteroloba	TaiwanStrait	2001/4/29	EH0104028	15.49	15.49	0.0088	11	763T	27I	025.32	121.07	
M01238	Eheteroloba	TaiwanStrait	2001/4/29	EH0104029	17.50	17.50	0.0160	17	763T	27I	025.32	121.07	
M01239	Eheteroloba	TaiwanStrait	2001/4/8	EH0104030	22.79	22.79	0.0478	27	752T	AAI	025.16	121.44	
M01240	Eheteroloba	TaiwanStrait	2001/4/7	EH0104031	9.75	9.75	0.0050	10	752T	25I	025.48	120.41	
M01241	Eheteroloba	TaiwanStrait	2001/4/7	EH0104032	13.34	13.34	0.0074	11	752T	25I	025.48	120.41	
M01242	Eheteroloba	TaiwanStrait	2001/4/7	EH0104033	12.60	12.60	0.0060	11	752T	25I	025.48	120.41	
M01243	Eheteroloba	TaiwanStrait	2001/4/7	EH0104034	14.15	14.15	0.0098	13	752T	25I	025.48	120.41	
M01244	Eheteroloba	TaiwanStrait	2001/4/7	EH0104035	11.80	11.80	0.0056	10	752T	25I	025.48	120.41	
M01245	Eheteroloba	TaiwanStrait	2001/4/7	EH0104036	14.05	14.05	0.0073	13	752T	25I	025.48	120.41	
M01246	Eheteroloba	TaiwanStrait	2001/4/7	EH0104037	14.40	14.40	0.0108	12	752T	25I	025.48	120.41	
M01247	Eheteroloba	TaiwanStrait	2001/4/7	EH0104038	15.15	15.15	0.0149	15	752T	25I	025.48	120.41	
M01248	Eheteroloba	TaiwanStrait	2001/4/7	EH0104039	15.60	15.60	0.0186	14	752T	25I	025.48	120.41	
M01249	Eheteroloba	TaiwanStrait	2001/4/8	EH0104040	10.75	10.75	0.0044	11	752T	00E	025.01	120.55	
