Month	preanal_length	Total_weight	sex	maturity	gonad_weight
3	159	47	F	M	1.06
3	143	38.5	F	M	0.5
3	135	31	F	M	0.74
3	167	58.5	M	M	0.42
3	138	31	M	M	0.14
3	127	31.5	M	M	0.11
3	146	38.5	M	M	0.18
3	138	29	M	M	0.17
3	145	33.5	F	M	0.49
3	140	34	M	M	0.37
3	135	27	M	M	0.18
3	147	36.5	M	M	0.28
3	157	27.5	M	M	0.2
3	126	24	F	M	0.21
3	124	26	M	M	0.11
3	130	28	M	M	0.13
3	112	16.5	M	M	0.09
3	128	31.5	M	M	0.15
3	178	52.5	M	M	0.74
3	121	22	M	M	0.07
3	118	23.5	M	M	0.29
3	120	25	M	M	0.09
3	119	30.5	M	M	0.16
3	141	29	M	M	0.13
10	230	168.5	F	M	6.05
10	223	179.5	M	M	1.75
10	206	130.5	F	M	0.97
10	218	136.5	F	M	4
10	210	142	M	M	0.77
10	211	138	M	M	1.72
10	220	167	M	M	1.62
10	226	180.5	M	M	2.03
10	248	222	M	M	2.76
10	219	158	F	M	3.06
