"ID" "TLength" "Age" "s1_T_wgt" "s1_T_egg" "s1_N" "s1_Tin2" "s2_T_wgt" "s2_T_egg" "s2_N" "s2_Tin2" "stock" "y" "eggwgt1" "eggwgt2"
"49" 49 578 10 1017.61 1041.94 23 1017.71 1000.22 1024.19 23 1000.35 "SB" 1 1.05347826086957 1.03652173913044
"50" 50 704 10 1020.95 1049.01 30 1021.31 1017.55 1050.88 36 1018.1 "SB" 1 0.923333333333335 0.910555555555558
"51" 51 510 5 1001.83 1034.22 33 1001.95 980.73 1000.81 20 980.95 "SB" 1 0.977878787878787 0.992999999999995
"52" 52 726 11 996.13 1026.56 30 996.24 1041.41 1063.04 21 1041.55 "SB" 1 1.01066666666666 1.02333333333333
"53" 53 622 8 991.74 1016.35 25 992.04 963.78 983.63 20 964.31 "SB" 1 0.972400000000002 0.966000000000003
"54" 54 684 10 981.55 1014.38 29 981.7 997.2 1028.99 28 997.36 "SB" 1 1.12689655172414 1.12964285714286
"55" 55 542 6 1038.8 1063.83 27 1039.33 1021 1045.28 25 1021.33 "SB" 1 0.907407407407407 0.957999999999997
"56" 56 622 10 1055.69 1085.87 33 1056.03 977.96 998.5 22 978.21 "SB" 1 0.904242424242422 0.922272727272726
"57" 57 468 5 1015.02 1041.49 28 1014.61 1002.72 1025.05 23 1003.02 "SB" 1 0.96 0.95782608695652
"58" 58 572 5 1035.07 1066.3 33 1035.53 1023.15 1045.1 23 1023.4 "SB" 1 0.932424242424242 0.943478260869562
"59" 59 588 8 1049.91 1063.16 14 1050.08 938.34 963.49 27 938.41 "SB" 1 0.934285714285725 0.92888888888889
"60" 60 608 9 991.26 1019.55 28 991.64 1012.63 1035.11 22 1013.02 "SB" 1 0.996785714285713 1.00409090909091
"61" 61 540 5 1027.9 1057.07 29 1028.08 995.58 1025.62 30 995.62 "SB" 1 0.999655172413793 0.999999999999996
"62" 62 685 13 995.54 1021.44 25 995.65 1004.29 1032.23 27 1004.42 "SB" 1 1.0316 1.03
"63" 63 735 15 1025.76 1043.56 20 1026.03 1004.26 1033.58 34 1004.6 "SB" 1 0.876499999999999 0.852352941176468
"64" 64 535 7 979.99 1005.58 24 980.24 967.3 989.76 21 967.49 "SB" 1 1.05583333333333 1.06047619047619
"65" 65 520 5 996.15 1028.24 34 996.54 1033.63 1067.44 36 1034.11 "SB" 1 0.932352941176472 0.925833333333338
"66" 66 566 5 1020.29 1046.78 26 1020.62 1027.9 1056.24 28 1028.49 "SB" 1 1.00615384615384 0.991071428571429
"67" 67 468 5 962.13 987.93 30 962.67 968.79 995.94 32 969 "SB" 1 0.842 0.841875000000002
"68" 68 482 6 987.22 1008.69 23 987.64 998.75 1032.63 36 999.03 "SB" 1 0.91521739130435 0.933333333333337
"69" 69 551 5 1038.64 1063.28 24 1039.12 1040.09 1066.75 26 1040.56 "SB" 1 1.00666666666667 1.00730769230769
"70" 70 657 10 981.94 1012.28 33 982.13 987.7 1005.27 19 987.99 "SB" 1 0.913636363636363 0.909473684210525
"71" 71 614 8 1018.47 1047.24 27 1018.65 997.3 1026.98 28 997.43 "SB" 1 1.05888888888889 1.05535714285715
"72" 72 518 5 1017.11 1034.83 18 1017.35 1014.6 1033.31 19 1014.93 "SB" 1 0.971111111111106 0.967368421052631
"73" 73 614 NA 1039.89 1060.63 21 1040.17 954.31 983.28 30 954.74 "SB" 1 0.974285714285716 0.951333333333332
"74" 74 673 15 1013.13 1036.75 32 1013.55 1021.31 1048.42 37 1021.36 "SB" 1 0.725000000000001 0.731351351351353
"75" 75 514 5 999.61 1021.69 25 999.87 1025.45 1046.54 24 1025.71 "SB" 1 0.872800000000002 0.867916666666664
"76" 76 682 11 986.15 1009.14 26 986.22 986.18 1015.94 34 986.21 "SB" 1 0.88153846153846 0.874411764705883
"77" 77 705 10 1036.85 1058.94 25 1037.15 1017.71 1041.61 27 1018.06 "SB" 1 0.871599999999999 0.87222222222222
"78" 78 560 7 988.8 1011.37 24 989.1 995.9 1020.16 26 996.23 "SB" 1 0.927916666666666 0.920384615384613
"79" 79 462 4 1021.24 1039.45 20 1021.57 999.66 1019.45 22 999.64 "SB" 1 0.894 0.900454545454548
"80" 80 674 10 993.44 1022.88 28 993.83 984.26 1015.66 30 984.21 "SB" 1 1.0375 1.04833333333333
"81" 81 484 5 1025.33 1042.34 19 1025.37 1002.15 1029.02 30 1002.49 "SB" 1 0.893157894736844 0.884333333333332
"82" 82 495 5 980.24 1005.96 29 980.52 972.64 990.7 20 973.03 "SB" 1 0.877241379310347 0.883500000000004
"83" 83 505 4 974.36 998.88 27 974.49 1014.54 1039.07 27 1014.69 "SB" 1 0.903333333333333 0.902962962962959
"84" 84 571 7 991.57 1010.99 18 992 991.41 1016.1 23 991.81 "SB" 1 1.055 1.05608695652174
"85" 85 495 4 1023.91 1047.75 29 1024.34 989.68 1015.98 32 990.06 "SB" 1 0.807241379310348 0.810000000000002
"86" 86 550 5 1015.86 1042.55 30 1016.06 1015.37 1043.96 33 1015.42 "SB" 1 0.883 0.864848484848487
"87" 87 752 17 1037.2 1057.95 22 1037.64 988.07 1013.98 28 988.22 "SB" 1 0.923181818181816 0.92
"88" 88 590 9 1019.67 1042.55 27 1019.74 997.91 1020.85 27 998.08 "SB" 1 0.844814814814813 0.843333333333333
"89" 89 600 9 1012.59 1043.63 33 1013.03 1022.45 1048.26 28 1022.35 "SB" 1 0.927272727272731 0.925357142857142
"90" 90 570 5 1030.84 1054.93 24 1031.12 997.08 1020.81 24 997.36 "SB" 1 0.99208333333334 0.97708333333333
"91" 91 496 5 1014.8 1034.24 20 1015.16 1008.63 1030.04 22 1009 "SB" 1 0.954000000000002 0.956363636363635
"92" 92 585 7 958.68 979.71 23 958.96 953.61 975.73 24 953.86 "SB" 1 0.902173913043478 0.91125
"93" 93 612 6 993.52 1023.06 28 993.95 976.38 1002.85 25 976.75 "SB" 1 1.03964285714285 1.044
"94" 94 505 6 1009.25 1035.11 27 1009.34 987.8 1009.73 23 987.84 "SB" 1 0.95444444444444 0.951739130434782
"95" 95 600 6 988.3 1012.1 27 988.35 1013.55 1024.08 12 1013.67 "SB" 1 0.87962962962963 0.867499999999997
"96" 96 539 5 1003.43 1025.78 25 1003.92 1008.55 1035.45 30 1008.83 "SB" 1 0.8744 0.887333333333334
"97" 97 533 5 996.9 1026.23 30 996.92 995.86 1023.57 28 995.91 "SB" 1 0.977000000000002 0.987857142857146
"98" 98 762 17 979.12 999.11 20 979.18 974.8 998.41 25 974.81 "SB" 1 0.996500000000003 0.944000000000001
"99" 99 724 16 976.33 1009.21 30 976.43 989.41 1015.63 24 989.58 "SB" 1 1.09266666666667 1.08541666666666
"100" 100 660 12 977.85 1005.29 33 978.15 1000.82 1022.46 27 1001.11 "SB" 1 0.822424242424242 0.790740740740742
"101" 101 NA 4 1018.04 1044.8 28 1018.6 1026.33 1051.76 27 1026.73 "SB" 1 0.935714285714283 0.927037037037036
"102" 102 535 5 1003.65 1033.18 31 1003.86 979.7 1004.75 26 980.05 "SB" 1 0.945806451612905 0.950000000000002
