catnum	length							
P05198	21.1							
P05198	13.3							
P05198	17.8							
P05198	18.6							
P05198	20.4							
P05198	23.5							
P05198	19							
P05198	19.9							
P05198	23.1							
P05198	17.1							
P05198	19							
P05198	22.9							
P05198	18.5							
P05198	24.8							
P05264	23.4							
P05264	25.7							
P05264	22.2							
P05264	27.1							
P05264	20.6							
P05264	25.2							
P05264	28.9							
P05264	18.9							
P05264	20.4							
P05264	17.9							
P05264	22.9							
P05264	21.7							
P05264	27.3							
P05264	29.5							
P05264	24.4							
P05264	25.9							
P05264	23.9							
P05264	20.6							
P05264	24.1							
P05264	24							
P05264	22							
P05264	21.5							
P05264	20.7							
P05264	26.8							
P05264	23.5							
P05264	22.6							
P05264	21.8							
P05264	21.1							
P05264	32.5							
P05264	21.2							
P05264	28.8							
P05264	18.7							
P05264	21.7							
P05264	24.4							
P05264	23.3							
P05264	18.3							
P05264	19.9							
P05264	20.4							
P05264	23.4							
P05264	16.8							
P05264	21.8							
P05264	18.9							
P05264	14.8							
P05264	19.2							
P05264	19.1							
P05264	25.1							
P05264	22.8							
P05264	20.9							
P05264	24.8							
P05264	16.1							
P05264	21.1							
P05264	20.2							
P05264	22.4							
P05264	16.3							
P05264	21.9							
P05264	23.1							
P05264	15.1							
P05264	13.3							
P05264	21.7							
P05264	21.4							
P05264	19.7							
P05264	18.4							
P05264	18.9							
P05264	19.9							
P05264	18.1							
P05264	21.3							
P05264	21.9							
P05264	19.3							
P05264	19.7							
P05264	18							
P05264	18.2							
P05264	19.7							
P05264	22.9							
P05264	21.4							
P05264	23.6							
P05264	22.8							
P05264	13.2							
P05264	21.4							
P05264	15							
P05264	20.9							
P05264	25.1							
P05264	18.6							
P05264	20.7							
P05264	16.1							
P05264	20.9							
P05264	18.8							
P05264	20							
P05264	23.5							
P05264	23.5							
P05264	14.6							
P05264	20.8							
P05264	18.4							
P05264	16.5							
P05264	20.9							
P05264	25.9							
P05264	18							
P05264	17.5							
P05264	22.2							
P05264	20.6							
P05264	23							
P05264	22							
P05264	13.5							
P05264	15							
P05264	25.5							
P05264	16.5							
P05264	26.9							
P05264	21.3							
P05264	26.6							
P05264	22							
P05264	22.7							
P05264	24.1							
P05264	25.5							
P05264	25							
P05264	19.8							
P05264	16.6							
P05264	20.7							
P05264	19.5							
P05264	22.8							
P05264	21.5							
P05264	17.3							
P05264	18.5							
P05264	21.8							
P05264	13.6							
P05264	24							
P05264	14.3							
P05264	20.4							
P05264	16.7							
P05264	20.5							
P05264	18.3							
P05264	16.8							
P05264	19.2							
P05264	18.5							
P05264	16.5							
P05264	18.4							
P05264	14.7							
P05264	20.8							
P05264	21.5							
P05264	21.1							
P05264	17.8							
P05264	17.1							
P05264	18.4							
P05264	16.4							
P05264	20							
P05264	19.5							
P05264	15.5							
P05264	23.2							
P05264	21.9							
P05264	19.6							
P05264	18.5							
P05264	18.9							
P05264	17.8							
P05264	21.5							
P05264	14.1							
P05264	20.7							
P05264	17.4							
P05264	20.2							
P05264	18.7							
P05264	20.9							
P05264	20.6							
P05264	21.3							
P05264	12.7							
P05264	15.5							
P05264	21.8							
P05264	14.1							
P05264	14.6							
P05264	20.1							
P05264	20.2							
P05264	21.7							
P05264	17.1							
P05264	17.6							
P05264	18.6							
P05264	19.9							
P05264	21.8							
P05264	18.6							
P05264	18.7							
P05264	23.8							
P05264	20.4							
P05264	20							
P05264	21.5							
P05264	17.7							
P05264	15.9							
P05264	17.6							
P05264	14.3							
P05264	11.7							
P05264	20							
P05264	20.2							
P05264	18.8							
P05264	20.9							
P05264	20.5							
P05264	22.7							
P05264	16.6							
P05264	19.9							
P05264	20.2							
P05264	24.5							
P05264	20.6							
P05264	20.6							
P05264	28.5							
P05264	22							
P05264	23.1							
P05264	21.1							
P05289	18.9							
P05289	14.8							
P05289	22.5							
P05289	21.5							
P05289	32.6							
P05289	33.8							
P05289	31							
P05289	27							
P05289	19.4							
P05289	22.1							
P05289	20.6							
P05289	18							
P05289	31.9							
P05289	28.2							
P05289	23.2							
P05289	15.1							
P05289	30.4							
P05289	20							
P05289	18.9							
P05289	23.2							
P05289	18.7							
P05289	20.6							
P05289	33.9							
P05289	25							
P05289	29.8							
P05289	23.2							
P05289	20							
P05289	21.7							
P05289	20.8							
P05289	20.2							
P05289	24.6							
P05289	25.2							
P05289	20.7							
P05289	35							
P05289	30.8							
P05289	20.9							
P05289	31.5							
P05289	26.1							
P05289	23.5							
P05289	18.4							
P05289	18.9							
P05289	20.1							
P05289	40.6							
P05289	25.1							
P05289	27.6							
P05289	29.9							
P05289	21.8							
P05289	20							
P05289	18.8							
P05289	21.5							
P05289	22.1							
P05289	27.6							
P05289	28.9							
P05289	24.1							
P05289	25.1							
P05289	21.2							
P05289	24.6							
P05289	19.8							
P05289	28							
P05289	17							
P05289	17.8							
P05289	15.5							
P05289	29.6							
P05289	16.6							
P05289	24.8							
P05289	21.4							
P05289	19.6							
P05289	28.8							
P05289	21							
P05289	24.8							
P05289	16.8							
P05289	24.4							
P05289	21.2							
P05289	30.2							
P05289	24.1							
P05289	21.1							
P05289	29							
P05289	33.1							
P05289	19.1							
P05289	24.6							
P05289	18.6							
P05289	17.6							
P05289	29.1							
P05289	20.5							
P05289	25							
P05289	26.9							
P05289	27.2							
P05289	17.5							
P05289	26.5							
P05289	23.7							
P05289	27							
P05289	21.1							
P05289	26.7							
P05289	29.2							
P05289	31.7							
P05289	19.5							
P05289	25							
P05289	24.7							
P05289	20							
P05289	21.9							
P05289	20.2							
P05289	16.7							
P05289	25.6							
P05289	20.5							
P05289	21.7							
P05289	22							
P05289	31.7							
P05289	30.5							
P05289	19.9							
P05289	28.1							
P05289	27.5							
P05289	30.5							
P05289	24.7							
P05289	29.8							
P05289	21.5							
P05289	28							
P05289	19.7							
P05289	23.1							
P05289	27.2							
P05289	25.2							
P05289	17.6							
P05289	16.8							
P05289	22.2							
P05289	28.1							
P05289	26.7							
P05289	19.9							
P05289	28.7							
P05289	26.6							
P05289	18.5							
P05289	28.1							
P05289	26.4							
P05289	27.9							
P05289	20.4							
P05289	31.8							
P05289	20.3							
P05289	26.2							
P05289	22.3							
P05289	18.8							
P05289	32.2							
P05289	20.1							
P05289	16.9							
P05289	15.9							
P05289	22.4							
P05289	21.6							
P05289	20.7							
P05289	20.6							
P05289	24							
P05289	31.5							
P05289	16.4							
P05289	22.3							
P05289	22.3							
P05289	31.9							
P05289	26.6							
P05289	26.6							
P05289	25.3							
P05289	32.9							
P05289	28.9							
P05289	28.8							
P05289	24.6							
P05289	30.7							
P05289	17.2							
P05289	15							
P05289	28.9							
P05289	30.4							
P05289	24.4							
P05289	28.6							
P05289	24.2							
P05289	28.4							
P05289	19.1							
P05289	34.3							
P05289	22.2							
P05289	17.7							
P05289	27.2							
P05289	29.7							
P05289	19.1							
P05289	27.2							
P05289	25.9							
P05289	26.4							
P05289	26.6							
P05289	25.3							
P05289	20.8							
P05289	15.9							
P05289	33.8							
P05289	21.9							
P05289	29.9							
P05289	34.6							
P05289	34							
P05289	29.2							
P05289	27							
P05289	23.3							
P05289	26.5							
P05289	21.1							
P05289	29.3							
P05289	20.7							
P05289	21.5							
P05289	19.7							
P05289	25.9							
P05289	25.7							
P05289	24.9							
P05289	20.5							
P05339	29.1							
P05339	26.6							
P05339	11.8							
P05339	21.5							
P05339	14.8							
P05339	22.7							
P05339	17.7							
P05339	23.5							
P05339	14.8							
P05339	23.3							
P05339	24.2							
P05339	27.7							
P05339	29.8							
P05339	31.9							
P05339	27.9							
P05339	28.8							
P05339	29.9							
P05339	27.1							
P05339	27.2							
P05339	25.4							
P05339	14.4							
P05339	23.2							
P05339	15.5							
P05339	22.8							
P05339	22.8							
P05339	22.3							
P05339	18.4							
P05339	16.8							
P05339	13							
P05339	14.4							
P05339	23.3							
P05339	25.8							
P05339	28.1							
P05339	27.5							
P05339	27							
P05339	24.6							
P05339	27.5							
P05339	25.8							
P05339	28.5							
P05339	24.6							
P05339	25							
P05339	15							
P05339	24.4							
P05339	13.2							
P05339	17.4							
P05339	13.5							
P05339	20.7							
P05339	19.8							
P05339	18.8							
P05339	22.3							
P05339	23.7							
P05339	35.8							
P05339	26.3							
P05339	24.3							
P05339	27.5							
P05339	23							
P05339	28.2							
P05339	28							
P05339	30.2							
P05339	31.7							
P05339	23.2							
P05339	17.3							
P05339	21.3							
P05339	20.8							
P05339	24.3							
P05339	18.3							
P05339	13.7							
P05339	21.3							
P05339	24.8							
P05339	18.3							
P05339	13.7							
P05339	35.5							
P05339	24.5							
P05339	24.9							
P05339	28							
P05339	24.9							
P05339	25.1							
P05339	25.4							
P05339	30.5							
P05339	26.8							
P05339	21.4							
P05339	21.9							
P05339	15.1							
P05339	20.2							
P05339	12							
P05339	13.1							
P05339	18.3							
P05339	19.8							
P05339	18.5							
P05339	14.9							
P05339	22.9							
P05339	29.6							
P05339	26.4							
P05339	29.4							
P05339	29.1							
P05339	29.7							
P05339	27							
P05339	27.7							
P05339	28.1							
P05339	29.6							
P05339	23							
P05339	24.8							
P05339	23							
P05339	19.7							
P05339	19.1							
P05339	18.6							
P05339	23.9							
P05339	23.2							
P05339	22.8							
P05339	20.3							
P05339	18.5							
P05339	27.7							
P05339	28							
P05339	24.6							
P05339	25.1							
P05339	25.2							
P05339	31.5							
P05339	30.7							
P05339	25.9							
P05339	26.4							
P05339	23.2							
P05339	14							
P05339	24.8							
P05339	24.1							
P05339	20.5							
P05339	22.8							
P05339	20.9							
P05339	17.3							
P05339	22.9							
P05339	20.6							
P05339	18.3							
P05339	25.8							
P05339	24.9							
P05339	33.7							
P05339	27.5							
P05339	25.7							
P05339	29.1							
P05339	28.9							
P05339	31.4							
P05339	28.7							
P05339	21.3							
P05339	24.2							
P05339	13.6							
P05339	23.2							
P05339	16.8							
P05339	19.6							
P05339	19.1							
P05339	13.5							
P05339	24.4							
P05339	21.1							
P05339	25.4							
P05339	30.1							
P05339	31							
P05339	24.8							
P05339	34.9							
P05339	27.7							
P05339	32.1							
P05339	27.9							
P05339	28.4							
P05339	26.1							
P05339	13.2							
P05339	26.6							
P05339	15.6							
P05339	13.5							
P05339	15.7							
P05339	15.4							
P05339	15.1							
P05339	17.6							
P05339	13.6							
P05339	17.1							
P05339	23.4							
P05339	26.2							
P05339	26.4							
P05339	25.7							
P05339	29.4							
P05339	27							
P05339	26.2							
P05339	29.1							
P05339	27.7							
P05339	27.1							
P05339	18.9							
P05339	16.9							
P05339	13.6							
P05339	16.4							
P05339	15							
P05339	22.9							
P05339	14.8							
P05339	12.7							
P05339	14.9							
P05339	19							
P05339	31.8							
P05339	25.7							
P05339	28.6							
P05339	24.7							
P05339	28							
P05339	26.4							
P05339	25							
P05339	25.9							
P05339	27.3							
P05339	29.8							
P05349	54.8							
P05349	32.4							
P05349	30.6							
P05349	31.3							
P05349	31.1							
P05349	29.5							
P05349	32.4							
P05349	27.1							
P05349	24.7							
P05349	19.4							
P05349	20.1							
P05349	23.5							
P05349	21.8							
P05349	24							
P05349	19.7							
P05349	20.3							
P05349	23.9							
P05349	22.7							
P05349	14.4							
P05349	20.4							
P05349	60.3							
P05349	27.9							
P05349	30							
P05349	27.5							
P05349	32.1							
P05349	25.7							
P05349	31.9							
P05349	33.4							
P05349	22.4							
P05349	18.4							
P05349	17							
P05349	24.5							
P05349	17							
P05349	23.7							
P05349	16.5							
P05349	19.4							
P05349	18.6							
P05349	19.8							
P05349	21.3							
P05349	14.8							
P05349	31.5							
P05349	30.7							
P05349	33.1							
P05349	26							
P05349	25.3							
P05349	28.3							
P05349	26.1							
P05349	25.3							
P05349	22.6							
P05349	21							
P05349	17							
P05349	17.2							
P05349	16.6							
P05349	22.9							
P05349	15.8							
P05349	20.3							
P05349	21.1							
P05349	16.9							
P05349	21.4							
P05349	18.4							
P05349	34							
P05349	30.6							
P05349	33.2							
P05349	24.9							
P05349	24.7							
P05349	25.1							
P05349	27.2							
P05349	26.3							
P05349	23.8							
P05349	17.1							
P05349	21.7							
P05349	17.7							
P05349	17.4							
P05349	16.5							
P05349	17.4							
P05349	16.1							
P05349	17.3							
P05349	16.6							
P05349	16.6							
P05349	17.7							
P05349	32.2							
P05349	26.1							
P05349	33.3							
P05349	24.3							
P05349	28.9							
P05349	29.4							
P05349	31							
P05349	24.8							
P05349	16.4							
P05349	19.3							
P05349	14.2							
P05349	17.2							
P05349	15.6							
P05349	16.7							
P05349	13.1							
P05349	14.8							
P05349	16.2							
P05349	16.5							
P05349	17.9							
P05349	10.8							
P05349	30.7							
P05349	32.3							
P05349	28							
P05349	28.1							
P05349	29.5							
P05349	28.1							
P05349	29.4							
P05349	27.3							
P05349	22.3							
P05349	15.7							
P05349	17.4							
P05349	19.8							
P05349	18.2							
P05349	14.8							
P05349	23.5							
P05349	15.5							
P05349	16.3							
P05349	26.7							
P05349	12.9							
P05349	15.8							
P05349	30.4							
P05349	32.9							
P05349	24.9							
P05349	26.3							
P05349	28.8							
P05349	26.6							
P05349	30.8							
P05349	28.5							
P05349	21.3							
P05349	20.2							
P05349	20.7							
P05349	22.3							
P05349	20.4							
P05349	16.9							
P05349	19.1							
P05349	19.6							
P05349	16.7							
P05349	19.5							
P05349	14							
P05349	14.8							
P05349	28							
P05349	32.5							
P05349	25.2							
P05349	31.3							
P05349	29.6							
P05349	33.3							
P05349	24.5							
P05349	35.6							
P05349	19.7							
P05349	16.3							
P05349	18.3							
P05349	20.3							
P05349	24.5							
P05349	16.5							
P05349	20.4							
P05349	16.5							
P05349	18							
P05349	19.7							
P05349	13.4							
P05349	24.4							
P05349	35.3							
P05349	28.5							
P05349	26							
P05349	26.8							
P05349	27.6							
P05349	29.8							
P05349	26.3							
P05349	29.9							
P05349	14.4							
P05349	15.6							
P05349	18							
P05349	20.7							
P05349	15.7							
P05349	13.6							
P05349	18.3							
P05349	17.6							
P05349	16.4							
P05349	20.2							
P05349	16							
P05349	17.7							
P05349	27							
P05349	29.1							
P05349	32.9							
P05349	34.6							
P05349	22.4							
P05349	28.9							
P05349	30.5							
P05349	29.6							
P05349	21.4							
P05349	17.4							
P05349	18.7							
P05349	14.4							
P05349	18.1							
P05349	20.8							
P05349	18.2							
P05349	20.8							
P05349	15.8							
P05349	18.4							
P05349	20.3							
P05349	14.2							
